m2_dpo.owl,m1_nbo.owl,m1_dpo.owl,m2_nbo.owl,definition,m2_union,definition_name,m1_union,
,,,10,"Thing
 and (is_about some circadian rhythm)",11,http://ebi.ac.uk#Pattern1310,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (increased rate
         and (towards some consumption behavior))))",3,http://ebi.ac.uk#Pattern1312,0,
,1,,1,"social behavior
 and (is_about some vocalization behavior)",2,http://ebi.ac.uk#Pattern169,1,
,,,10,"cutaneous sensation behavior
 and (in_response_to some multicellular organismal process)",11,http://ebi.ac.uk#Pattern1311,0,
,,,1,"BFO_0000056 some 
    (behavioral response to chemical stimulus
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern168,0,
,3,,3,"sensation behavior
 and (is_about some size)",4,http://ebi.ac.uk#Pattern1314,1,
,,,1,"consumption behavior
 and (has_participant some CHEBI_32111)",2,http://ebi.ac.uk#Pattern167,0,
1,,,,"continuant
 and (inheres_in some locomotor rhythm)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1313,0,
,2,,2,"aggressive behavior
 and (by_means some behavior)",3,http://ebi.ac.uk#Pattern166,1,
,,,4,"BFO_0000056 some 
    (GO_0060259
     and (has_quality some continuant))",5,http://ebi.ac.uk#Pattern1316,0,
,,,11,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (rate
         and (towards some behavior))))",12,http://ebi.ac.uk#Pattern165,0,
,,,3,"BFO_0000056 some 
    (non-rapid eye movement sleep behavior
     and (has_quality some Thing))",4,http://ebi.ac.uk#Pattern1315,0,
2,,,,"continuant
 and (inheres_in some 
    (courtship behavior or (behavior
     and (part_of some courtship behavior))))
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern186,0,
1,,,,"quality
 and (inheres_in some grooming behavior)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern185,0,
,69,,69,"BFO_0000056 some 
    (single-multicellular organism process
     and (has_quality some quality))",70,http://ebi.ac.uk#Pattern184,1,
1,,,,"Thing
 and (inheres_in some optokinetic behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern183,0,
,,,1,"liquid consumption
 and (has_participant some CHEBI_24835)",2,http://ebi.ac.uk#Pattern182,0,
,,,1,"sensation behavior
 and (in_response_to some cocaine consumption)",2,http://ebi.ac.uk#Pattern181,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (process quality
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern180,0,
,,,2,"classical conditioning
 and (is_about some GO_0050882)",3,http://ebi.ac.uk#Pattern1307,0,
4,,,,"quality
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some dependent continuant)",5,http://ebi.ac.uk#Pattern1306,0,
,3,,3,"BFO_0000056 some 
    (behavioral control of production of sound
     and (has_quality some quality))",4,http://ebi.ac.uk#Pattern1309,3,
,,,2,"classical conditioning
 and (is_about some GO_0050881)",3,http://ebi.ac.uk#Pattern1308,0,
,,,1,"posture
 and (has_participant some UBERON_0000061)",2,http://ebi.ac.uk#Pattern1301,0,
,,,3,"perceptual constancy behavior
 and (is_about some Thing)",4,http://ebi.ac.uk#Pattern1300,0,
,,,1,"BFO_0000056 some 
    (GO_0060273
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern179,0,
,1,,1,"posture
 and (has_participant some UBERON_0000060)",2,http://ebi.ac.uk#Pattern1303,1,
,,,1,"has_quality some 
    (continuant
     and (towards some GO_0042755))",2,http://ebi.ac.uk#Pattern178,0,
3,,,,"continuant
 and (inheres_in some chemosensory behavior)
 and (qualifier some abnormal)",4,http://ebi.ac.uk#Pattern1302,0,
1,,1,,"quality
 and (inheres_in some adult locomotory behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern177,1,
,,,1,"BFO_0000056 some 
    (agonistic behavior
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern1305,0,
,,,3,"BFO_0000056 some 
    (behavioral control of excretion
     and (has_quality some Thing))",4,http://ebi.ac.uk#Pattern176,0,
1,,1,,"quality
 and (inheres_in some entrainment of circadian clock)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1304,1,
,1,,1,"BFO_0000056 some 
    (response to light stimulus
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern153,1,
,2,,2,"behavior
 and (in_response_to some PATO_0001305)",3,http://ebi.ac.uk#Pattern395,1,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some deviation(from_normal)))",2,http://ebi.ac.uk#Pattern152,0,
1,,,,"Thing
 and (inheres_in some locomotor rhythm)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern394,0,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some qualitative))",2,http://ebi.ac.uk#Pattern151,0,
,,,1,"behavior
 and (in_response_to some PATO_0001306)",2,http://ebi.ac.uk#Pattern393,0,
1,,,,"Thing
 and (inheres_in some eclosion rhythm)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern150,0,
,,,4,"behavior
 and (in_response_to some sensory perception of chemical stimulus)",5,http://ebi.ac.uk#Pattern392,0,
1,,,,"quality
 and (inheres_in some jump response)
 and (qualifier some continuant)",2,http://ebi.ac.uk#Pattern391,0,
,,,1,"behavior
 and (in_response_to some sensory perception of sound)",2,http://ebi.ac.uk#Pattern390,0,
,,,11,"BFO_0000056 some 
    (somatic sensation related behavior
     and (has_quality some continuant))",12,http://ebi.ac.uk#Pattern1330,0,
,6,,6,"BFO_0000056 some 
    (GO_0022410
     and (has_quality some quality))",7,http://ebi.ac.uk#Pattern1339,1,
,2,,2,"BFO_0000056 some 
    (behavioral control of excretion
     and (has_quality some quality))",3,http://ebi.ac.uk#Pattern1332,2,
,,,1,"BFO_0000056 some 
    (vocalization behavior
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern149,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some physical quality of a process)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern1331,0,
1,,,,"quality
 and (inheres_in some male courtship behavior, veined wing generated song production)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern148,0,
,,,1,"behavioral control of excretion
 and (by_means some UBERON_0001256)
 and (is_about some GO_0007588)",2,http://ebi.ac.uk#Pattern1334,0,
1,,1,,"quality
 and (inheres_in some male courtship behavior, veined wing generated song production)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern147,1,
,,,2,"behavior
 and (in_response_to some sensory perception of smell)",3,http://ebi.ac.uk#Pattern389,0,
,,,3,"perceptual constancy behavior
 and (is_about some dependent continuant)",4,http://ebi.ac.uk#Pattern1333,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some physical object quality)))))",2,http://ebi.ac.uk#Pattern146,0,
1,,,,"quality
 and (inheres_in some 
    (courtship behavior or (biological_process
     and (part_of some courtship behavior))))
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern388,0,
,,,1,"BFO_0000056 some 
    (regulation of mating preference
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern1336,0,
,1,,1,"somatic sensation related behavior
 and (in_response_to some sensory perception of touch)",2,http://ebi.ac.uk#Pattern145,1,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (quality
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern387,0,
,,,1,"behavioral response to chemical stimulus
 and (in_response_to some alcohol consumption)",2,http://ebi.ac.uk#Pattern1335,0,
,1,,1,"BFO_0000056 some 
    (learning behavior
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern144,1,
,,,1,"BFO_0000056 some 
    (GO_0042756
     and (has-input some 
        (PATO_0000145
         and (has_quality some physical object quality))))",2,http://ebi.ac.uk#Pattern386,0,
1,,,,"Thing
 and (inheres_in some oviposition)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1338,0,
,,,14,"BFO_0000056 some 
    (involuntary movement behavior
     and (has_quality some Thing))",15,http://ebi.ac.uk#Pattern143,0,
,,,6,"BFO_0000056 some 
    (regulation of consumption behavior
     and (has_quality some 
        (frequency
         and (towards some liquid consumption))))",7,http://ebi.ac.uk#Pattern385,0,
1,,,,"Thing
 and (inheres_in some hatching behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1337,0,
,,,2,"BFO_0000056 some 
    (chemosensory behavior
     and (has_quality some Thing))",3,http://ebi.ac.uk#Pattern164,0,
,,,1,"behavior
 and (in_response_to some emotional conditioning)",2,http://ebi.ac.uk#Pattern163,0,
,1,,1,"BFO_0000056 some 
    (feeding behavior
     and (has_quality some increased rate))",2,http://ebi.ac.uk#Pattern162,1,
,,,1,"has_quality some 
    (dependent continuant
     and (towards some pleasure behavior))",2,http://ebi.ac.uk#Pattern161,0,
,,,2,"BFO_0000056 some 
    (rhythmic process
     and (has_quality some frequency))",3,http://ebi.ac.uk#Pattern160,0,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001309)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern1329,1,
,,,1,"BFO_0000056 some 
    (food consumption
     and (has_quality some increased quality))",2,http://ebi.ac.uk#Pattern1328,0,
,1,,1,"BFO_0000056 some 
    (regulation of mating preference
     and (has_quality some physical quality of a process))",2,http://ebi.ac.uk#Pattern1321,1,
,,,15,"BFO_0000056 some 
    (GO_0042756
     and (has_quality some continuant))",16,http://ebi.ac.uk#Pattern1320,0,
,,,1,"learning and/or memory behavior
 and (is_about some motor coordination)",2,http://ebi.ac.uk#Pattern159,0,
,1,,1,"BFO_0000056 some 
    (food consumption
     and (has_quality some increased process quality))",2,http://ebi.ac.uk#Pattern1323,1,
,,,60,"involuntary movement behavior
 and (by_means some response to stimulus)",61,http://ebi.ac.uk#Pattern158,0,
,,,2,"thermosensory behavior
 and (in_response_to some Thing)",3,http://ebi.ac.uk#Pattern1322,0,
3,,,,"Thing
 and (inheres_in some chemosensory behavior)
 and (qualifier some abnormal)",4,http://ebi.ac.uk#Pattern157,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (Thing
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern399,0,
4,,,,"quality
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some Thing)",5,http://ebi.ac.uk#Pattern1325,0,
,3,,3,regulates some food consumption,4,http://ebi.ac.uk#Pattern156,2,
,,,1,"consumption behavior
 and (has_participant some CHEBI_16236)",2,http://ebi.ac.uk#Pattern398,0,
,,,11,"BFO_0000056 some 
    (regulation of consumption behavior
     and (has_quality some 
        (rate
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern1324,0,
,5,,5,"consumption behavior
 and ((has_participant some CHEBI_52211) or (has_participant some PATO_0000145))",6,http://ebi.ac.uk#Pattern155,1,
,,,9,"BFO_0000056 some 
    (Thing
     and (has_quality some frequency))",10,http://ebi.ac.uk#Pattern397,0,
,,,1,"has_quality some 
    (quality
     and (towards some GO_0042755))",2,http://ebi.ac.uk#Pattern1327,0,
24,,24,,"quality
 and (inheres_in some response to stimulus)
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern154,1,
1,,,,"quality
 and (inheres_in some jump response)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern396,0,
,,,27,"BFO_0000056 some 
    (cognitive behavior
     and (has_quality some Thing))",28,http://ebi.ac.uk#Pattern1326,0,
,,,3,"Thing
 and (is_about some GO_0007588)",4,http://ebi.ac.uk#Pattern131,0,
,1,,1,"BFO_0000056 some 
    (memory behavior
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern373,1,
,,,6,"BFO_0000056 some 
    (regulation of consumption behavior
     and (has_quality some increased rate))",7,http://ebi.ac.uk#Pattern130,0,
,3,,3,"chemosensory behavior
 and (in_response_to some multicellular organismal process)",4,http://ebi.ac.uk#Pattern372,2,
,20,,20,"BFO_0000056 some 
    (GO_0050882
     and (has_quality some quality))",21,http://ebi.ac.uk#Pattern371,1,
1,,,,"quality
 and (inheres_in some hatching behavior)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern370,0,
,,,2,"Thing
 and (is_about some GO_0007589)",3,http://ebi.ac.uk#Pattern129,0,
,1,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_25418)",2,http://ebi.ac.uk#Pattern128,1,
,,,1,"behavior
 and (is_about some blinking)",2,http://ebi.ac.uk#Pattern127,0,
,,,20,"BFO_0000056 some 
    (GO_0050881
     and (has_quality some quality))",21,http://ebi.ac.uk#Pattern369,0,
,,,5,"emission behavior
 and (is_about some Thing)",6,http://ebi.ac.uk#Pattern126,0,
,,,11,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (rate
         and (towards some Thing))))",12,http://ebi.ac.uk#Pattern368,0,
,,,1,"BFO_0000056 some 
    (food consumption
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern125,0,
,,,1,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some increased quality))",2,http://ebi.ac.uk#Pattern367,0,
,,,1,"behavior
 and (is_about some jaw movement)",2,http://ebi.ac.uk#Pattern124,0,
,2,,2,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some decreased process quality))",3,http://ebi.ac.uk#Pattern366,1,
1,,,,"quality
 and (inheres_in some regulation of biological process)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern123,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased frequency
         and (qualifier some process quality)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern365,0,
,9,,9,"behavioral response to chemical stimulus
 and (in_response_to some (has_role some CHEBI_24432))",10,http://ebi.ac.uk#Pattern122,1,
,,,1,"BFO_0000056 some 
    (Thing
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern364,0,
,,,1,"multi-organism process
 and (by_means some irritability behavior)",2,http://ebi.ac.uk#Pattern121,0,
,,,2,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some decreased quality))",3,http://ebi.ac.uk#Pattern363,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (towards some behavior))))",4,http://ebi.ac.uk#Pattern142,0,
1,,,,"quality
 and (inheres_in some jump response)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern384,0,
,,,2,"Thing
 and (has_participant some CHEBI_33290)",3,http://ebi.ac.uk#Pattern141,0,
,,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_24921)",2,http://ebi.ac.uk#Pattern383,0,
,,,11,"BFO_0000056 some 
    (multi-organism process
     and (has_quality some quality))",12,http://ebi.ac.uk#Pattern140,0,
,1,,1,"associative learning behavior
 and (is_about some jaw movement)",2,http://ebi.ac.uk#Pattern382,1,
,3,,3,"BFO_0000056 some 
    (circadian behavior
     and (has_quality some quality))",4,http://ebi.ac.uk#Pattern381,1,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased quality
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern380,0,
,,,2,"BFO_0000056 some 
    (circadian behavior
     and (has_quality some frequency))",3,http://ebi.ac.uk#Pattern139,0,
,,,13,"BFO_0000056 some 
    (locomotory behavior
     and (has_quality some continuant))",14,http://ebi.ac.uk#Pattern138,0,
,,,,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some consumption behavior)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",1,http://ebi.ac.uk#Pattern137,1,
,1,,1,"associative learning behavior
 and (is_about some blinking)",2,http://ebi.ac.uk#Pattern379,1,
,1,,1,"BFO_0000056 some 
    (copulation
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern136,1,
,1,,1,"BFO_0000056 some 
    (regulation of feeding behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563)))))",2,http://ebi.ac.uk#Pattern378,1,
,,,5,"emission behavior
 and (is_about some single-multicellular organism process)",6,http://ebi.ac.uk#Pattern135,0,
,,,1,"consumption behavior
 and (has_participant some CHEBI_15377)",2,http://ebi.ac.uk#Pattern377,0,
,53,,53,"BFO_0000056 some 
    (sleep
     and (has_quality some quality))",54,http://ebi.ac.uk#Pattern134,1,
24,,,,"quality
 and (inheres_in some 
    (response to stimulus or (behavior
     and (part_of some response to stimulus))))
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern376,0,
,,,69,"BFO_0000056 some 
    (multicellular organismal process
     and (has_quality some quality))",70,http://ebi.ac.uk#Pattern133,0,
,,,1,"behavior
 and (has_participant some UBERON_0002101)",2,http://ebi.ac.uk#Pattern375,0,
,,,4,"BFO_0000056 some 
    (regulation of consumption behavior
     and (has_quality some decreased rate))",5,http://ebi.ac.uk#Pattern132,0,
,1,,1,"BFO_0000056 some 
    (GO_0045297
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern374,1,
,,,1,"Thing
 and (in_response_to some alcohol consumption)",2,http://ebi.ac.uk#Pattern351,0,
,,,1,"sensation behavior
 and (in_response_to some morphine consumption)",2,http://ebi.ac.uk#Pattern593,0,
,,,2,"Thing
 and (is_about some emotional behavior)",3,http://ebi.ac.uk#Pattern350,0,
,1,,1,"feeding behavior
 and (has_participant some CHEBI_15377)",2,http://ebi.ac.uk#Pattern592,1,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (quality
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern591,0,
,,,1,"learning behavior
 and (is_about some fear-related behavior)",2,http://ebi.ac.uk#Pattern590,0,
,,,7,"sensation behavior
 and (is_about some continuant)",8,http://ebi.ac.uk#Pattern109,0,
2,,,,"Thing
 and (inheres_in some proboscis extension reflex)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern108,0,
,,,2,"posture
 and (has_participant some Thing)",3,http://ebi.ac.uk#Pattern107,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (deviation(from_normal)
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern349,0,
,,,1,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern106,0,
,1,,1,"classical conditioning
 and (is_about some mouth movement)",2,http://ebi.ac.uk#Pattern348,1,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased frequency
         and (qualifier some PATO_0001863)
         and (towards some Thing))))",2,http://ebi.ac.uk#Pattern105,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (towards some Thing))))",4,http://ebi.ac.uk#Pattern347,0,
,1,,1,"BFO_0000056 some 
    (male mating behavior
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern589,1,
,,,1,"BFO_0000056 some 
    (behavioral control of defecation
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern104,0,
,,,1,"BFO_0000056 some 
    (GO_0045297
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern346,0,
,,,2,"Thing
 and (by_means some UBERON_0002105)",3,http://ebi.ac.uk#Pattern588,0,
,,,1,"cognitive behavior
 and (is_about some fear-related behavior)",2,http://ebi.ac.uk#Pattern103,0,
,,,2,"classical conditioning
 and (is_about some body part movement)",3,http://ebi.ac.uk#Pattern345,0,
,,,9,"behavioral response to chemical stimulus
 and (in_response_to some (has_role some CHEBI_50906))",10,http://ebi.ac.uk#Pattern587,0,
,1,,1,"sensation behavior
 and (in_response_to some sensory perception of taste)",2,http://ebi.ac.uk#Pattern102,1,
,,,1,"classical conditioning
 and (is_about some emotional behavior)",2,http://ebi.ac.uk#Pattern344,0,
,,,1,"Thing
 and (by_means some UBERON_0002104)",2,http://ebi.ac.uk#Pattern586,0,
,3,,3,"chemosensory behavior
 and (in_response_to some biological_process)",4,http://ebi.ac.uk#Pattern101,2,
2,,,,"quality
 and (inheres_in some visual behavior)
 and (qualifier some Thing)",3,http://ebi.ac.uk#Pattern343,0,
,,,1,"response to stimulus
 and (by_means some irritability behavior)",2,http://ebi.ac.uk#Pattern585,0,
,1,,1,"BFO_0000056 some 
    (chemosensory behavior
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern100,1,
,,,1,"associative learning behavior
 and (in_response_to some associative learning behavior)",2,http://ebi.ac.uk#Pattern342,0,
,,,2,"thermosensory behavior
 and (in_response_to some physical quality)",3,http://ebi.ac.uk#Pattern584,0,
7,,,,"quality
 and (inheres_in some multicellular organismal process)
 and (qualifier some abnormal)",8,http://ebi.ac.uk#Pattern341,0,
1,,,,"organismal quality
 and (inheres_in some organism)",2,http://ebi.ac.uk#Pattern583,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (towards some consumption behavior))))",4,http://ebi.ac.uk#Pattern120,0,
,1,,1,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some increased process quality))",2,http://ebi.ac.uk#Pattern362,1,
,,,1,"BFO_0000056 some 
    (male courtship behavior
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern361,0,
,13,,13,"has_quality some 
    (PATO_0002360
     and (towards some depression behavior))",14,http://ebi.ac.uk#Pattern360,1,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern119,0,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some increased object quality)))))",2,http://ebi.ac.uk#Pattern118,1,
,,,13,"has_quality some 
    (increased quality
     and (towards some depression behavior))",14,http://ebi.ac.uk#Pattern117,0,
,,,1,"behavior
 and (is_about some vocalization behavior)",2,http://ebi.ac.uk#Pattern359,0,
,10,,10,"BFO_0000056 some 
    (multi-organism behavior
     and (has_quality some quality))",11,http://ebi.ac.uk#Pattern116,2,
,,,1,"behavior
 and (is_about some GO_0042747)",2,http://ebi.ac.uk#Pattern358,0,
4,,,,"quality
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some quality)",5,http://ebi.ac.uk#Pattern115,0,
1,,,,"quality
 and (inheres_in some feeding behavior)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern357,0,
,,,1,"cognitive behavior
 and (in_response_to some nicotine consumption)",2,http://ebi.ac.uk#Pattern599,0,
,1,,1,"cognitive behavior
 and (is_about some PATO_0001595)",2,http://ebi.ac.uk#Pattern114,1,
,,,1,"BFO_0000056 some 
    (GO_0042756
     and (has-input some 
        (PATO_0000145
         and (has_quality some physical quality))))",2,http://ebi.ac.uk#Pattern356,0,
,,,1,"BFO_0000056 some 
    (response to stimulus
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))",2,http://ebi.ac.uk#Pattern598,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some increased quality)))))",2,http://ebi.ac.uk#Pattern113,0,
,1,,1,"sensation behavior
 and (is_about some PATO_0001708)",2,http://ebi.ac.uk#Pattern355,1,
,,,55,"BFO_0000056 some 
    (rhythmic behavior
     and (has_quality some continuant))",56,http://ebi.ac.uk#Pattern597,0,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0000125)))))",2,http://ebi.ac.uk#Pattern112,1,
,1,,1,"consumption behavior
 and (has_participant some CHEBI_17303)",2,http://ebi.ac.uk#Pattern354,1,
,,,1,"BFO_0000056 some 
    (regulation of consumption behavior
     and (has_quality some 
        (decreased frequency
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern596,0,
,,,3,"BFO_0000056 some 
    (learning and/or memory behavior
     and (has_quality some continuant))",4,http://ebi.ac.uk#Pattern111,0,
,,,1,"associative learning behavior
 and (is_about some perception behavior by means)",2,http://ebi.ac.uk#Pattern353,0,
,1,,1,"has_quality some 
    (extra or missing processual parts
     and (towards some GO_0042755))",2,http://ebi.ac.uk#Pattern595,1,
,2,,2,"BFO_0000056 some 
    (GO_0042747
     and (has_quality some physical quality of a process))",3,http://ebi.ac.uk#Pattern110,1,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some consumption behavior))))",2,http://ebi.ac.uk#Pattern352,0,
,,,3,"BFO_0000056 some 
    (GO_0042747
     and (has_quality some continuant))",4,http://ebi.ac.uk#Pattern594,0,
,,,1,"BFO_0000056 some 
    (Thing
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern571,0,
,,,10,"behavior
 and (is_about some circadian rhythm)",11,http://ebi.ac.uk#Pattern570,0,
,,,1,"BFO_0000056 some 
    (protective behavior
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern329,0,
,,,3,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some 
        (decreased rate
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern328,0,
,34,,34,"BFO_0000056 some 
    (single-organism behavior
     and (has_quality some quality))",35,http://ebi.ac.uk#Pattern327,3,
,1,,1,"behavioral control of external secretion
 and (by_means some UBERON_0001817)
 and (is_about some transport)",2,http://ebi.ac.uk#Pattern569,1,
,1,,1,"behavioral response to xenobiotics
 and (in_response_to some cocaine consumption)",2,http://ebi.ac.uk#Pattern326,1,
,,,1,"behavior
 and (has_participant some UBERON_0000309)",2,http://ebi.ac.uk#Pattern568,0,
,1,,1,"BFO_0000056 some 
    (feeding behavior
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))",2,http://ebi.ac.uk#Pattern325,1,
5,,,,"quality
 and (inheres_in some reproductive process)
 and (qualifier some abnormal)",6,http://ebi.ac.uk#Pattern567,0,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased rate
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern324,1,
,4,,4,"BFO_0000056 some 
    (GO_0035176
     and (has_quality some dependent continuant))",5,http://ebi.ac.uk#Pattern566,1,
,1,,1,"BFO_0000056 some 
    (GO_0042756
     and (has-input some 
        (Thing
         and (has_quality some PATO_0001563))))",2,http://ebi.ac.uk#Pattern323,1,
,,,11,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (dependent continuant
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern565,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (process quality
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern322,0,
